year,date,weekday,time,mood,activities,note
2018,June 22,Friday,20:39,bad,"",""
2018,June 21,Thursday,20:23,meh,"",""
2018,June 20,Wednesday,20:06,good,"",""
2018,June 19,Tuesday,20:00,good,"work | Bike",""
2018,June 18,Monday,21:26,good,"work | Sasha time | Bike",""
2018,June 17,Sunday,20:38,good,"work | Bike",""
2018,June 16,Saturday,20:10,good,"relax | Sasha time",""
2018,June 15,Friday,20:00,good,"relax",""
2018,June 14,Thursday,20:36,good,"work",""
2018,June 13,Wednesday,20:21,good,"work | Sasha time | Bike",""
2018,June 12,Tuesday,20:16,meh,"work",""
2018,June 11,Monday,20:02,good,"work",""
2018,June 10,Sunday,20:28,good,"work | Sasha time | Bike","הפסקתי עם התרופות 😁"
2018,June 9,Saturday,21:23,good,"relax | Sasha time | sport",""
2018,June 8,Friday,21:47,meh,"relax | Sasha time | Cashew | sport",""
2018,June 7,Thursday,20:13,good,"work | Sasha time | Bike",""
2018,June 6,Wednesday,20:38,good,"work | Cashew | Bike",""
2018,June 4,Monday,22:58,rad,"work","Pycon"
2018,June 3,Sunday,23:00,rad,"work | Bike","היתה לי סוג של התגלות לגבי זה שאני לא חייב לקחת את התפיסות והרגשות (הקארמה) שלי כל כך ברצינות, זה מאוד משונה אבל אפשרי"
2018,June 2,Saturday,22:32,good,"work | relax | meditation | Sasha time",""
2018,June 1,Friday,20:06,good,"relax | Sasha time",""
2018,May 31,Thursday,22:04,meh,"work | Bike",""
2018,May 30,Wednesday,20:07,meh,"WFH | Sasha time",""
2018,May 29,Tuesday,21:10,good,"work | Sasha time | Cashew | sport | Bike",""
2018,May 28,Monday,21:23,good,"work | Sasha time",""
2018,May 27,Sunday,22:15,meh,"",""
2018,May 26,Saturday,20:26,meh,"relax | Sasha time",""
2018,May 25,Friday,20:17,good,"relax | Sasha time | Cashew",""
2018,May 24,Thursday,20:48,good,"work | meditation | Bike",""
2018,May 23,Wednesday,20:00,good,"work | Sasha time | Cashew | Bike",""
2018,May 22,Tuesday,20:52,good,"work | Sasha time | Bike",""
2018,May 21,Monday,20:59,good,"work | Sasha time | Bike",""
2018,May 20,Sunday,20:25,good,"relax | Sasha time",""
2018,May 19,Saturday,20:52,meh,"relax | Sasha time",""
2018,May 18,Friday,22:51,good,"relax | Sasha time",""
2018,May 16,Wednesday,22:05,good,"work | Sasha time | Bike",""
2018,May 14,Monday,20:00,good,"work | Sasha time | Cashew | Bike",""
2018,May 13,Sunday,20:01,good,"",""
2018,May 12,Saturday,20:08,good,"relax | Sasha time",""
2018,May 11,Friday,20:22,meh,"relax | Sasha time",""
2018,May 10,Thursday,20:53,good,"work | meditation | Bike",""
2018,May 9,Wednesday,20:08,good,"work | Sasha time | Cashew | Bike",""
2018,May 8,Tuesday,20:45,good,"work | Sasha time | sport | Bike",""
2018,May 7,Monday,20:00,good,"work | Bike",""
2018,May 6,Sunday,21:28,good,"work | Bike",""
2018,May 5,Saturday,20:11,meh,"relax | meditation | friends | Sasha time",""
2018,May 4,Friday,21:04,meh,"relax | Sasha time",""
2018,May 3,Thursday,20:00,meh,"work | Cashew | Bike",""
2018,May 2,Wednesday,20:05,good,"work | Bike",""
2018,May 1,Tuesday,20:02,good,"work | Sasha time | Bike",""
2018,April 30,Monday,20:04,good,"work | Cashew | Bike",""
2018,April 29,Sunday,20:20,good,"work | Bike",""
2018,April 28,Saturday,20:04,meh,"",""
2018,April 27,Friday,22:12,good,"",""
2018,April 26,Thursday,20:17,meh,"relax | Sasha time",""
2018,April 25,Wednesday,21:16,good,"work",""
2018,April 24,Tuesday,20:23,good,"work | Sasha time",""
2018,April 23,Monday,20:04,good,"work | Sasha time | Bike",""
2018,April 22,Sunday,20:12,good,"work | Bike",""
2018,April 21,Saturday,20:31,good,"relax | meditation | Sasha time",""
2018,April 20,Friday,23:18,good,"relax | Sasha time",""
2018,April 19,Thursday,21:23,good,"relax | Sasha time",""
2018,April 18,Wednesday,21:06,awful,"Sasha time",""
2018,April 17,Tuesday,21:14,good,"work",""
2018,April 16,Monday,20:15,rad,"work | Cashew",""
2018,April 15,Sunday,20:23,rad,"work | sport",""
2018,April 14,Saturday,20:07,good,"relax | Sasha time",""
2018,April 13,Friday,20:14,good,"relax | Sasha time",""
2018,April 12,Thursday,20:14,good,"",""
2018,April 11,Wednesday,20:00,good,"",""
2018,April 10,Tuesday,20:35,bad,"WFH | Sasha time | sport",""
2018,April 9,Monday,20:05,good,"work",""
2018,April 8,Sunday,20:04,good,"work |  Sick",""
2018,April 7,Saturday,20:00,meh,"",""
2018,April 6,Friday,20:01,awful,"Sasha time |  Sick",""
2018,April 5,Thursday,20:09,meh,"",""
2018,April 5,Thursday,16:19,good,"work | relax",""